cumbersome,niewygodny
goofy,głupkowane
hoppy,chmielowy
loud,głośny
not serious,niepoważne
ornamental,ozdobny
perks,profity
pleasant,przyjemny
quietly,cicho
reflects,odzwierzecy
sedate,stateczny
silly,głupie
straightforward,bezpośredni
tedious,nudny
weak,słaby
able-bodied,w pełni sprawny
aboard,na pokładzie
above,powyżej
abroad,za granicą
addicted to,uzależniony od
additionally,dotatkowo
afraid,sprzestraszony
allowed,dozwolony
amazed,zdziwiony
annual,roczny
applied,stosowany
approaching,zbliżający się
ashamed,zawstydzony
attached,przywiązany
awarded,nagrodzony
aware of,świadomy
away from home,z daleka od domu
away from, z dala od
away,z dala
bitter,gorzki
breathing,oddechowy
breathtaking,zapierający dech w piersiach
charmed,oczarowany
charming,uroczy
cheap,tani
cheaply,tanio
chequered,w kradkę
childish,dziecinny
circumstances,okoliczności
completely different,całkowicie inny
completely normal,zupełnie normalny
completely,całkowicie
conscious,świadomy
contracted,zakontraktowany
certainly,na pewno
convinced / persuaded,przekonany
convinced,przekonany
cured,leczony
definitely,zdecydowanie
deserted,opustoszały
disabled,niepełnosprawny
disappointed,rozczarowany
discarded,odrzucony
disgusting,obrzydliwy
equalized,wyrównany
evidence-based,oparte na dowodach
exceptional,wyjątkowy
executive,wykonawczy
faithful,wierny
fed,karmiony
flavored,przyprawiony
following,następujący
freely,swobodnie
funny,zabawny
generous,hojny
guilty,winny
gullible,łatwowierny
gustatory,smakowity
gusty,porywisty
happy,szczęśliwy
hard,ciężko
hardly,ledwie
healthy,zdrowy
immortal,nieśmiertelny
improved,poprawiony
included,zawarty
informal,nieformalny
insincere,nieszczery
insincerely,fałszywie
instinctive,instynktowny
instinctively,instynktownie
insulted,znieważony
intuitive,intuicyjny
invented,zmyślony
invited,zaproszony
invited,zaproszony
