I don't sleep at all;W ogóle nie śpię
There was sth;Było coś
There wasn't sth;Nie było czegoś
waste money on sth;trafić pieniądze na coś
In my parents' house,w domu moich rodziców
It might be wrong;Może być złe
She lost her wallet abroad;Straciła swój portwel za granicą
cross the border;przekroczyć granicę
Altough they are poor they are happy;Chociaż oni są biedni, są szczęśliwi
another spoon;jeszcze jedna/inna łyżka
At the weekend;W weekend
call my wife;zadzwonić do mojej żony
divide your work;podzielić pracę
do the washing;zrobić pranie
do the washing up, wash the dishes;zmywać naczynia
Do you eat candy?;Czy ty jesz słodycze
Do you enjoy it?;Czy to ci sprawia przyjemność?
Fruit contains a lot of sugar;Owoce zawierają dużo cukru
Hire them;Wynajmij ich
I can't work;Nie mogę pracować
I couldn't turn it on;Nie mogłem go włączyć
I crossed the border;przekroczyłem granicę
I don't have to;Nie muszę
I don't have to clean the floor;Nie muszę myć podłogi
I don't remember what his name is;Nie pamiętam jak on ma na imię
I dont't know if my code works;Nie wiem, czy mój kod działa
I enjoyed it very much;To mi się bardzo podobało
I finished writing yesterday morning;Skończyłem pisać wczoraj rano
I forget to give water to my dogs;Zapominam dać wody moim psom
I had fun;Bawiłem się
I had to;Musiałem
I like him;Lubię go
I must;Muszę
I mustn't;Nie wolno mi
I overslept;Zaspałem
I slept too little;Za mało spałem
I try not to eat milk;Staram się nie jeść mleka
I wan't be;Nie będę
I want to be;Chcę być
I want to see what real permissions look like;Chce zobaczyć jak wyglądają prawdziwe uprawnienia
I'll probably say that;Prawdopodobnie powiem, że
I'm annoyed;Poirytowany
I'm bored;Jestem znudzony
I'm boring;Jestem nudny
I'm stressed;Jestem zestresowany
I'm working on the same issue;Pracuję nad tą samą kwestią
ICT;informatyka (w szkole)
If they were the richest people, they would still be unhappy;Gdyby byli najbogatszymi ludźmi, nadal byliby nieszczęśliwi
in fact;tak naprawdę
in several years;za kilka lat
In this restaurant, Sienkiewicz ate;W tej restauracji jadł Sienkiewicz
It depends on;To zależy od
It describes what the REST API endpoints look like;To opisuje jak endpointy REST API wyglądają
It was very enjoyable;To było bardzo zabawne
It will last a lot of time;To będzie trwać dużo czasu
It will take a lot of time;To zajmie dużo czasu
It works well;Działa dobrze
It's a pity;Szkoda
it's dangerous for them;To dla nich niebezpieczne
jawellery;biżuteria
job advertisement;ogłoszenie o pracę
job interview;rozmowa o pracę
Let me go!;Pozwól mi odejść
lifestyle;styl życia
look like;wygląda jak
make progress;robić postepy
make time;znaleźć czas
me hobby;moje hobby
Much better than;Dużo lepsze
Music is interesting;Muzyka jest interesująca
My wife, who;Moja żona, która
on my way home;po drodze do domu
on Saturday;w sobotę
on Thursday;w czwartek
on Tuesday;we wtorek
on Wednesday;w środę
once a month;raz w miesiącu
other people;inni ludzie
Our dogs;Nasze psy
overtook me;wyprzedziły mnie
quite big;dosyć dużu
road rage;wściekły na innych kierowców
road sign;znak drogowy
rob a bank;okradać bank
rob a person;okradać osobę
send a text message to my wife;wysyłać smsy do mojej żony
She didn't want to sell the female dogs;Nie chciała sprzedać suczek
She is interested in music;Ona jest zainteresowana muzyką
She makes you go to the mountains;Zmusza Cię do jechania w góry
She took photos;Ona zrobiła zdjęcia
someone couldn't do;ktoś nie umiał
steal jewellery;kraść biżuterię
taking photos;robić zdjęcia
tell the truth;mówić prawdę
the happiest;najszczęśliwszy
There are many people like that;Jest wielu takich ludzi
There is a restaurant colled Szamma;Jest restauracja nazywana Szamma
There may be only six people;Może być tylko sześć osób
They have little hair;Oni mają mało włosów
They let you know;Daje Ci znać
They'll help him;Pomogą mu
This language was supposed to be;Ten język miał być
Three pices of advice;Trzy rady
timeconsuming;czasochłonny
Too mach hair;Za dużo włosów
two hours later;dwie godziny później
We argue;Kłócimy się
We had;mieliśmy
We magically generate;Generujemy magicznie
We must curry them;Musimy je nieść
We must take;Musumy wziąć
We sold;Sprzedaliśmy
We think if we really need;Myślimy czy naprawdę tego potrzebujemy
We understand each other;Zrozumieliśmy się nawzajem
We will have to;Będziemy musieli
We're looking at each other;Patrzymy na siebie nawzajem
We're used to it;Jrsteśmy przyzwyczajeni
weighlersness;nieważkość
weightless;nic nie ważący
What does she like?;Co ona lubi?
What happened;Co się stało
What is she like?;Jaka ona jest?
When I studied;Podczas studiów
Who's lacking social skills?;Komu brakuje umiejętności społecznych?
With his children;Z jego dziećmi
with them;z nimi
would still be alive;nadal by żył
