abide	abode	abode,mieszkać / znosić / przestrzegać (czegoś)
arise	arose	arisen,powstać
awake	awoke	awoke/awakened,przebudzić się / budzić
be	was/were	been,być
bear	bore	born,nieść / ponosić / znosić
beat	beat	beaten,bić
become	became	become,stawać się
befall	befell	befallen,trafić się
beget	begot	begot/begotten,począć
begin	began	begun,zaczynać (się)
behold	beheld	beheld,patrzeć
bend	bent	bent,zginać
bereave	bereft	bereft,pozbawiać
beseech	beseeched/besought	beseeched/besought,błagać
bet	bet	bet,zakładać się
bestride	bestrode	bestridden,dosiąść
betake	betook	betaken,udać się
bid	bid	bid,licytować
bind	bound	bound,wiązać
bite	bit	bitten,gryźć
bleed	bled	bled,krwawić
blow	blew	blown,dmuchać
break	broke	broken,łamać / rozbić
breed	bred	bred,hodować
bring	brought	brought,przynosić
broadcast	broadcast	broadcast,transmitować
build	built	built,budować
burn	burnt/burned	burnt/burned,palić (się)
burst	burst	burst,pękać
buy	bought	bought,kupować
can	could	-,móc / potrafić
cast	cast	cast,rzucać
catch	caught	caught,łapać
chide	chid	chid/chidden,strofować
choose	chose	chosen,wybierać
cleave	cleft/clove	cleft/cloven,rozłupywać
cling	clung	clung,lgnąć
clothe	clad/clothen	clad/chothen,ubierać
come	came	come,przychodzić / przybywać
cost	cost	cost,kosztować
creep	crept	crept,pełzać
crow	crew/crowed	crowed,krakać
cut	cut	cut,ciąć
do	did	done,robić
draw	drew	drawn,rysować
dream	dreamt/dreamed	dreamt/dreamed,śnić / marzyć
drink	drank	drunk,pić
drive	drove	driven,jechać / prowadzić samochód
dwell	dwelt	dwelt,mieszkać (nie w mówionym)
eat	ate	eaten,jeść
fall	fell	fallen,upadać
feed	fed	fed,karmić
feel	felt	felt,czuć
fight	fought	fought,walczyć
find	found	found,znaleźć
forgive	forgave	forgiven,przebaczać
fly	flew	flown,latać
forget	forgot	forgotten,zapominać
freeze	froze	frozen,zamrażać
get	got	got,dostawać
give	gave	given,dawać
go	went	gone,iść
grow	grew	grown,rosnąć
hang	hung	hung,wieszać
have	had	had,mieć
hear	heard	heard,słyszeć
hide	hid	hidden,ukrywać się
hit	hit	hit,uderzać
hold	held	held,trzymać
hurt	hurt	hurt,ranić
keep	kept	kept,trzymać
know	knew	known,wiedzieć / znać
lay	laid	laid,kłaść
lead	led	led,prowadzić
learn	learnt	learnt,uczyć się
leave	left	left,opuszczać / wyjeżdżać
lend	lent	lent,pożyczyć
let	let	let,pozwolić
lie	lay	lain,leżeć
lie	lied	lied,kłamać
light	lit	lit,zapalać
lose	lost	lost,gubić / zgubić
make	made	made,robić
mean	meant	meant,znaczyć / mieć na myśli
meet	met	met,spotykać / poznawać
pay	paid	paid,płacić
put	put	put,kłaść / położyć
read	read	read,czytać
ride	rode	ridden,jeździć
ring	rang	rung,dzwonić
rise	rose	risen,podnosić się
run	ran	run,biec
say	said	said,mówić / powiedzieć
see	saw	seen,widzieć / zobaczyć
sell	sold	sold,sprzedać
send	sent	sent,wysyłać
set	set	set,umieszczać / zachodzić (coś)
shake	shook	shaken,potrząsnąć
shine	shone	shone,świecić
shoot	shot	shot,strzelać
show	showed	shown,pokazać
shut	shut	shut,zamykać
sing	sang	sung,śpiewać
sink	sank	sunk,tonąć
sit	sat	sat,siedzieć
sleep	slept	slept,spać
smell	smelt/smelled	smelt/smelled,wąchać
speak	spoke	spoken,mówić
speed	sped	sped,mknąć
spell	spelt/spelled	spelt/spelled,literować
spend	spent	spent,spędzać / wydawać
spill	spilt	spilt,rozlewać
split	split	split,rozdzielać
spoil	spoilt/spoiled	spoilt/spoiled,psuć
stand	stood	stood,stać
steal	stole	stolen,kraść
stick	stuck	stuck,utkwić
strike	struck	struck,strajkować
sweep	swept	swept,zamiatać
swim	swam	swum,pływać
take	took	taken,brać
teach	taught	taught,uczyć
tear	tore	torn,rwać
tell	told	told,powiedzieć
think	thought	thought,sądzić / myśleć
throw	threw	thrown,rzucać
understand	understood	understood,rozumieć
wake up	woke up	woken up,budzić się
wear	wore	worn,nosić
weep	wept	wept,płakać
win	won	won,wygrywać
write	wrote	written,pisać
